#;Start;End;Break;Duration;Hourly Rate, $;Bonus, $;Earnings, $;Client;Project;Task;Note
21;2021-07-09 09:00 AM;2021-07-09 01:00 PM;00:00;04:00;25;;100;Tristique Incorporated;Dashboard Projet;Implementation;
22;2021-07-08 09:00 AM;2021-07-08 04:30 PM;00:30;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
23;2021-07-07 09:00 AM;2021-07-07 04:00 PM;01:30;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
24;2021-07-06 08:30 AM;2021-07-06 05:30 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
25;2021-07-05 08:30 AM;2021-07-05 06:00 PM;01:00;08:30;25;;212.5;Tristique Incorporated;Dashboard Projet;Implementation;
26;2021-07-02 09:00 AM;2021-07-02 03:00 PM;00:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
27;2021-07-01 09:00 AM;2021-07-01 05:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
28;2021-06-30 09:00 AM;2021-06-30 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
29;2021-06-29 07:30 AM;2021-06-29 05:00 PM;01:30;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
30;2021-06-28 09:00 AM;2021-06-28 05:00 PM;01:30;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
31;2021-06-23 08:30 AM;2021-06-23 05:00 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
32;2021-06-22 08:00 AM;2021-06-22 05:00 PM;02:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
33;2021-06-21 08:00 AM;2021-06-21 06:00 PM;01:00;09:00;25;;225;Tristique Incorporated;Dashboard Projet;Implementation;
34;2021-06-18 08:00 AM;2021-06-18 05:30 PM;01:00;08:30;25;;212.5;Tristique Incorporated;Dashboard Projet;Implementation;
35;2021-06-17 08:30 AM;2021-06-17 05:00 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
36;2021-06-16 09:00 AM;2021-06-16 03:30 PM;01:00;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
37;2021-06-15 08:00 AM;2021-06-15 04:30 PM;01:30;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
38;2021-06-14 09:00 AM;2021-06-14 05:00 PM;00:30;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
39;2021-06-11 08:00 AM;2021-06-11 05:30 PM;01:00;08:30;25;;212.5;Tristique Incorporated;Dashboard Projet;Implementation;
40;2021-06-10 08:00 AM;2021-06-10 05:00 PM;00:30;08:30;25;;212.5;Tristique Incorporated;Dashboard Projet;Implementation;
41;2021-06-09 08:30 AM;2021-06-09 03:30 PM;00:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
42;2021-06-08 08:00 AM;2021-06-08 05:00 PM;00:00;09:00;25;;225;Tristique Incorporated;Dashboard Projet;Implementation;
43;2021-06-07 09:00 AM;2021-06-07 05:00 PM;00:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
44;2021-06-06 09:00 AM;2021-06-06 03:00 PM;00:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
45;2021-06-05 08:00 AM;2021-06-05 09:00 AM;00:00;01:00;25;;25;Tristique Incorporated;Dashboard Projet;Implementation;
46;2021-06-04 08:00 AM;2021-06-04 05:00 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
47;2021-06-03 09:00 AM;2021-06-03 12:00 PM;00:00;03:00;25;;75;Tristique Incorporated;Dashboard Projet;Implementation;
48;2021-06-02 09:00 AM;2021-06-02 05:00 PM;00:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
49;2021-06-01 09:00 AM;2021-06-01 06:00 PM;00:30;08:30;25;;212.5;Tristique Incorporated;Dashboard Projet;Implementation;
50;2021-05-31 08:00 AM;2021-05-31 06:00 PM;00:30;09:30;25;;237.5;Tristique Incorporated;Dashboard Projet;Implementation;
51;2021-05-28 08:00 AM;2021-05-28 04:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
52;2021-05-27 08:00 AM;2021-05-27 04:30 PM;00:00;08:30;25;;212.5;Tristique Incorporated;Dashboard Projet;Implementation;
53;2021-05-26 07:00 AM;2021-05-26 12:00 PM;00:00;05:00;25;;125;Tristique Incorporated;Dashboard Projet;Implementation;
54;2021-05-25 08:30 AM;2021-05-25 06:00 PM;00:00;09:30;25;;237.5;Tristique Incorporated;Dashboard Projet;Implementation;
55;2021-05-21 08:00 AM;2021-05-21 04:30 PM;00:30;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
56;2021-05-20 09:00 AM;2021-05-20 04:30 PM;01:00;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
57;2021-05-19 09:00 AM;2021-05-19 07:00 PM;02:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
58;2021-05-18 09:00 AM;2021-05-18 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
59;2021-05-17 09:30 AM;2021-05-17 03:30 PM;01:00;05:00;25;;125;Tristique Incorporated;Dashboard Projet;Implementation;
60;2021-05-16 02:00 PM;2021-05-16 08:00 PM;00:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
61;2021-05-14 09:00 AM;2021-05-14 05:00 PM;00:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
62;2021-05-13 09:00 AM;2021-05-13 05:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
63;2021-05-12 09:00 AM;2021-05-12 12:00 PM;00:00;03:00;25;;75;Tristique Incorporated;Dashboard Projet;Implementation;
64;2021-05-11 09:00 AM;2021-05-11 01:00 PM;00:00;04:00;25;;100;Tristique Incorporated;Dashboard Projet;Implementation;
65;2021-05-07 09:00 AM;2021-05-07 03:30 PM;01:00;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
66;2021-05-06 09:00 AM;2021-05-06 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
67;2021-05-05 09:00 AM;2021-05-05 03:30 PM;00:30;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
68;2021-05-04 09:00 AM;2021-05-04 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
69;2021-05-03 09:00 AM;2021-05-03 05:30 PM;01:30;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
70;2021-04-30 08:30 AM;2021-04-30 03:30 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
71;2021-04-29 09:00 AM;2021-04-29 06:00 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
72;2021-04-28 09:00 AM;2021-04-28 03:30 PM;00:00;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
73;2021-04-27 08:30 AM;2021-04-27 04:00 PM;03:00;04:30;25;;112.5;Tristique Incorporated;Dashboard Projet;Implementation;
74;2021-04-26 09:00 AM;2021-04-26 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
75;2021-04-23 09:00 AM;2021-04-23 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
76;2021-04-22 09:00 AM;2021-04-22 06:00 PM;00:30;08:30;25;;212.5;Tristique Incorporated;Dashboard Projet;Implementation;
77;2021-04-20 09:00 AM;2021-04-20 03:00 PM;00:30;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
78;2021-04-19 09:00 AM;2021-04-19 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
79;2021-04-16 09:00 AM;2021-04-16 04:30 PM;02:00;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
80;2021-04-15 09:00 AM;2021-04-15 04:00 PM;01:30;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
81;2021-04-14 09:00 AM;2021-04-14 03:00 PM;01:00;05:00;25;;125;Tristique Incorporated;Dashboard Projet;Implementation;
82;2021-04-13 09:00 AM;2021-04-13 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
83;2021-04-12 09:00 AM;2021-04-12 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
84;2021-04-09 09:00 AM;2021-04-09 03:00 PM;01:00;05:00;25;;125;Tristique Incorporated;Dashboard Projet;Implementation;
25;2021-04-08 08:30 AM;2021-04-08 05:30 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
86;2021-04-07 08:30 AM;2021-04-07 03:30 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
87;2021-04-06 08:30 AM;2021-04-06 05:00 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
88;2021-04-01 09:00 AM;2021-04-01 04:30 PM;01:00;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
89;2021-03-31 09:00 AM;2021-03-31 03:30 PM;00:00;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
90;2021-03-30 08:30 AM;2021-03-30 06:00 PM;01:30;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
91;2021-03-29 09:00 AM;2021-03-29 05:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
92;2021-03-26 09:00 AM;2021-03-26 05:00 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
93;2021-03-25 08:30 AM;2021-03-25 05:30 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
94;2021-03-24 08:30 AM;2021-03-24 03:30 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
95;2021-03-23 08:30 AM;2021-03-23 05:30 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
96;2021-03-22 09:00 AM;2021-03-22 06:00 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
97;2021-03-19 08:30 AM;2021-03-19 07:00 PM;01:00;09:30;25;;237.5;Tristique Incorporated;Dashboard Projet;Implementation;
98;2021-03-18 08:30 AM;2021-03-18 03:00 PM;02:00;04:30;25;;112.5;Tristique Incorporated;Dashboard Projet;Implementation;
99;2021-03-17 08:30 AM;2021-03-17 04:30 PM;01:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
100;2021-03-16 08:30 AM;2021-03-16 05:30 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
101;2021-03-15 09:30 AM;2021-03-15 06:00 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
102;2021-03-12 09:00 AM;2021-03-12 06:00 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
103;2021-03-11 08:00 AM;2021-03-11 04:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
104;2021-03-10 08:30 AM;2021-03-10 03:30 PM;00:30;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
105;2021-03-09 08:30 AM;2021-03-09 12:30 PM;00:00;04:00;25;;100;Tristique Incorporated;Dashboard Projet;Implementation;
106;2021-03-08 09:00 AM;2021-03-08 05:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
107;2021-03-05 08:30 AM;2021-03-05 05:00 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
108;2021-03-04 08:30 AM;2021-03-04 05:00 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
109;2021-03-03 08:30 AM;2021-03-03 05:00 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
110;2021-03-02 09:00 AM;2021-03-02 05:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
111;2021-03-01 09:00 AM;2021-03-01 05:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
112;2021-02-26 08:30 AM;2021-02-26 04:30 PM;00:30;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
113;2021-02-25 09:00 AM;2021-02-25 12:00 PM;00:00;03:00;25;;75;Tristique Incorporated;Dashboard Projet;Implementation;
114;2021-02-24 09:00 AM;2021-02-24 03:00 PM;01:00;05:00;25;;125;Tristique Incorporated;Dashboard Projet;Implementation;
115;2021-02-23 09:00 AM;2021-02-23 03:00 PM;01:00;05:00;25;;125;Tristique Incorporated;Dashboard Projet;Implementation;
116;2021-02-22 09:00 AM;2021-02-22 05:30 PM;00:30;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
117;2021-02-19 08:30 AM;2021-02-19 05:00 PM;00:30;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
118;2021-02-18 09:00 AM;2021-02-18 03:00 PM;00:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
119;2021-02-17 09:00 AM;2021-02-17 04:00 PM;00:30;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
120;2021-02-16 09:00 AM;2021-02-16 05:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
121;2021-02-15 10:00 AM;2021-02-15 06:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
122;2021-02-12 09:00 AM;2021-02-12 05:30 PM;00:30;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
123;2021-02-11 09:00 AM;2021-02-11 07:00 PM;02:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
124;2021-02-09 09:00 AM;2021-02-09 05:00 PM;00:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
125;2021-02-08 01:00 PM;2021-02-08 04:30 PM;00:00;03:30;25;;87.5;Tristique Incorporated;Dashboard Projet;Implementation;
126;2021-02-07 09:00 AM;2021-02-07 01:00 PM;00:00;04:00;25;;100;Tristique Incorporated;Dashboard Projet;Implementation;
127;2021-02-06 09:00 AM;2021-02-06 11:00 AM;00:00;02:00;25;;50;Tristique Incorporated;Dashboard Projet;Implementation;
128;2021-02-05 09:00 AM;2021-02-05 03:00 PM;00:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
129;2021-02-04 09:00 AM;2021-02-04 03:30 PM;01:00;05:30;25;;137.5;Tristique Incorporated;Dashboard Projet;Implementation;
130;2021-02-03 09:00 AM;2021-02-03 05:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
131;2021-02-02 09:00 AM;2021-02-02 05:30 PM;01:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
132;2021-02-01 09:00 AM;2021-02-01 04:30 PM;01:00;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
133;2021-01-30 01:00 PM;2021-01-30 04:00 PM;00:00;03:00;25;;75;Tristique Incorporated;Dashboard Projet;Implementation;
134;2021-01-29 08:30 AM;2021-01-29 04:00 PM;01:00;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
135;2021-01-28 08:30 AM;2021-01-28 04:00 PM;01:00;06:30;25;;162.5;Tristique Incorporated;Dashboard Projet;Implementation;
136;2021-01-27 09:00 AM;2021-01-27 04:00 PM;00:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
137;2021-01-26 09:00 AM;2021-01-26 12:00 PM;00:00;03:00;25;;75;Tristique Incorporated;Dashboard Projet;Implementation;
138;2021-01-25 09:00 AM;2021-01-25 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
139;2021-01-24 08:30 AM;2021-01-24 04:00 PM;00:00;07:30;25;;187.5;Tristique Incorporated;Dashboard Projet;Implementation;
140;2021-01-22 01:00 PM;2021-01-22 04:30 PM;00:00;03:30;25;;87.5;Tristique Incorporated;Dashboard Projet;Implementation;
141;2021-01-21 09:00 AM;2021-01-21 06:00 PM;01:00;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
142;2021-01-20 09:00 AM;2021-01-20 06:00 PM;02:00;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
143;2021-01-19 09:00 AM;2021-01-19 04:30 PM;00:30;07:00;25;;175;Tristique Incorporated;Dashboard Projet;Implementation;
144;2021-01-18 09:00 AM;2021-01-18 05:30 PM;00:30;08:00;25;;200;Tristique Incorporated;Dashboard Projet;Implementation;
145;2021-01-15 09:30 AM;2021-01-15 05:30 PM;02:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
146;2021-01-14 08:30 AM;2021-01-14 03:30 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
147;2021-01-13 09:30 AM;2021-01-13 03:30 PM;00:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
148;2021-01-12 09:00 AM;2021-01-12 04:00 PM;01:00;06:00;25;;150;Tristique Incorporated;Dashboard Projet;Implementation;
149;2021-01-11 02:00 PM;2021-01-11 04:00 PM;00:00;02:00;25;;50;Tristique Incorporated;Dashboard Projet;Implementation;
150;2020-10-30 08:30 AM;2020-10-30 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
151;2020-10-29 08:30 AM;2020-10-29 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
152;2020-10-28 08:30 AM;2020-10-28 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
153;2020-10-27 08:30 AM;2020-10-27 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
154;2020-10-26 08:30 AM;2020-10-26 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
155;2020-10-23 08:30 AM;2020-10-23 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
156;2020-10-22 08:30 AM;2020-10-22 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
157;2020-10-21 08:30 AM;2020-10-21 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
158;2020-10-20 08:30 AM;2020-10-20 04:00 PM;00:30;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
159;2020-10-19 08:30 AM;2020-10-19 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
160;2020-10-16 08:30 AM;2020-10-16 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
161;2020-10-15 08:30 AM;2020-10-15 01:00 PM;00:00;04:30;25;;112.5;Proin LLC;Factory Dashboard;Implementation;
162;2020-10-14 08:30 AM;2020-10-14 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
163;2020-10-13 08:30 AM;2020-10-13 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
164;2020-10-09 08:30 AM;2020-10-09 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
165;2020-10-08 08:30 AM;2020-10-08 12:30 PM;00:00;04:00;25;;100;Proin LLC;Factory Dashboard;Implementation;
166;2020-10-07 08:30 AM;2020-10-07 10:00 AM;00:00;01:30;25;;37.5;Proin LLC;Factory Dashboard;Implementation;
167;2020-10-06 08:30 AM;2020-10-06 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
168;2020-10-05 08:30 AM;2020-10-05 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
169;2020-10-02 08:30 AM;2020-10-02 04:30 PM;00:00;08:00;25;;200;Proin LLC;Factory Dashboard;Implementation;
170;2020-10-01 08:30 AM;2020-10-01 04:30 PM;00:00;08:00;25;;200;Proin LLC;Factory Dashboard;Implementation;
171;2020-09-30 08:30 AM;2020-09-30 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
172;2020-09-29 08:30 AM;2020-09-29 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
173;2020-09-28 08:30 AM;2020-09-28 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
174;2020-09-25 08:30 AM;2020-09-25 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
175;2020-09-24 08:30 AM;2020-09-24 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
176;2020-09-23 08:30 AM;2020-09-23 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
177;2020-09-22 08:30 AM;2020-09-22 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
178;2020-09-21 08:30 AM;2020-09-21 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
179;2020-09-18 09:30 AM;2020-09-18 05:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
180;2020-09-17 08:30 AM;2020-09-17 10:30 AM;00:00;02:00;25;;50;Proin LLC;Factory Dashboard;Implementation;
181;2020-09-16 08:30 AM;2020-09-16 10:30 AM;00:00;02:00;25;;50;Proin LLC;Factory Dashboard;Implementation;
182;2020-09-15 08:30 AM;2020-09-15 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
183;2020-09-14 08:30 AM;2020-09-14 04:30 PM;01:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
184;2020-09-11 08:30 AM;2020-09-11 09:30 AM;00:00;01:00;25;;25;Proin LLC;Factory Dashboard;Implementation;
125;2020-09-10 08:30 AM;2020-09-10 12:00 PM;00:00;03:30;25;;87.5;Proin LLC;Factory Dashboard;Implementation;
186;2020-09-09 08:30 AM;2020-09-09 05:30 PM;00:30;08:30;25;;212.5;Proin LLC;Factory Dashboard;Implementation;
187;2020-09-08 08:30 AM;2020-09-08 03:30 PM;00:00;07:00;25;;175;Proin LLC;Factory Dashboard;Implementation;
188;2020-09-07 08:30 AM;2020-09-07 04:30 PM;00:00;08:00;25;;200;Proin LLC;Factory Dashboard;Implementation;
189;2020-09-04 08:30 AM;2020-09-04 10:00 AM;00:00;01:30;25;;37.5;Proin LLC;Factory Dashboard;Implementation;
190;2020-09-03 08:30 AM;2020-09-03 10:00 AM;00:00;01:30;25;;37.5;Proin LLC;Factory Dashboard;Implementation;
191;2020-09-02 08:30 AM;2020-09-02 11:00 AM;00:00;02:30;25;;62.5;Proin LLC;Factory Dashboard;Implementation;
192;2020-09-01 08:30 AM;2020-09-01 05:00 PM;00:00;08:30;25;;212.5;Proin LLC;Factory Dashboard;Implementation;
193;2020-08-31 08:30 AM;2020-08-31 02:30 PM;00:00;06:00;25;;150;Proin LLC;Factory Dashboard;Implementation;
194;2020-08-28 08:30 AM;2020-08-28 09:00 AM;00:00;00:30;25;;12.5;Proin LLC;Factory Dashboard;Implementation;
195;2020-08-27 10:00 AM;2020-08-27 01:00 PM;00:00;03:00;25;;75;Proin LLC;Factory Dashboard;Implementation;
196;2020-08-26 08:00 AM;2020-08-26 10:00 AM;00:00;02:00;25;;50;Proin LLC;Factory Dashboard;Implementation;
197;2020-08-25 08:30 AM;2020-08-25 02:30 PM;00:00;06:00;25;;150;Proin LLC;Factory Dashboard;Implementation;
198;2020-08-24 08:30 AM;2020-08-24 12:15 PM;00:00;03:45;25;;93.75;Proin LLC;Factory Dashboard;Implementation;
199;2020-08-21 08:30 AM;2020-08-21 10:00 AM;00:00;01:30;25;;37.5;Proin LLC;Factory Dashboard;Implementation;
200;2020-08-20 08:30 AM;2020-08-20 01:45 PM;00:00;05:15;25;;131.25;Proin LLC;Factory Dashboard;Implementation;
201;2020-08-19 08:30 AM;2020-08-19 01:00 PM;00:00;04:30;25;;112.5;Proin LLC;Factory Dashboard;Implementation;
202;2020-08-18 08:30 AM;2020-08-18 12:30 PM;00:00;04:00;25;;100;Proin LLC;Factory Dashboard;Implementation;
203;2020-08-17 08:30 AM;2020-08-17 04:00 PM;01:00;06:30;25;;162.5;Proin LLC;Factory Dashboard;Implementation;
204;2020-08-14 08:30 AM;2020-08-14 10:00 AM;00:00;01:30;25;;37.5;Proin LLC;Factory Dashboard;Implementation;
